Name,Date,Period,School,Sport
"Fitzgerald, Andrew ",2018-2019,Jan 2016 -  ,McNeese State University ,Women's Soccer 
"Fitzgerald, Ashleigh ",2018-2019,Apr 2014 - Jan 2020 ,McNeese State University ,Women's Volleyball 
"Fitzgerald, Pat ",2018-2019,Aug 2006 -  ,Northwestern University ,Football 
"Fitzsimmons, Dan ",2018-2019,Aug 2008 -  ,University of South Dakota ,Women's Cross Country 
"Fitzsimmons, Dan ",2018-2019,Aug 2008 -  ,University of South Dakota ,Men's Cross Country 
"Flanagan, Paul ",2018-2019,Aug 2008 -  ,Syracuse University ,Women's Ice Hockey 
"Flanery, Jim ",2018-2019,Aug 2002 -  ,Creighton University ,Women's Basketball 
"Fleck, Jeanne ",2018-2019,Jun 2008 -  ,"California State University, Fresno ",Women's Swimming and Diving 
"Fleck, Mike ",2018-2019,Sep 1998 -  ,Ball State University ,Men's Golf 
"Fleck, PJ ",2018-2019,Feb 2017 -  ,"University of Minnesota, Twin Cities ",Football 
"Fleming, Andy ",2018-2019,Jan 2010 -  ,Xavier University ,Men's Soccer 
"Fleming, Jesse ",2018-2019,Jun 2016 -  ,St. Bonaventure University ,Women's Basketball 
"Fleming, Jim ",2018-2019,Jan 2014 -  ,University of Rhode Island ,Football 
"Fletcher, Emily ",2018-2019,Jul 2008 -  ,Northwestern University ,Women's Golf 
"Fletcher, Steve ",2018-2019,May 2001 -  ,Rider University ,Men's Swimming and Diving 
"Fletcher, Steve ",2018-2019,May 2001 -  ,Rider University ,Women's Swimming and Diving 
"Flint, Dave ",2018-2019,Aug 2008 -  ,Northeastern University ,Women's Ice Hockey 
"Flogiates, Theodore ",2018-2019,Aug 2018 - Apr 2019 ,"University of Arkansas, Pine Bluff ",Women's Soccer 
"Flogiates, Theodore ",2018-2019,Apr 2019 -  ,Jackson State University ,Women's Soccer 
"Flohre, Nick ",2018-2019,Jan 2016 - Aug 2019 ,Eastern Kentucky University ,Women's Soccer 
"Flood, Tom P. ",2018-2019,Mar 2010 -  ,Grand Canyon University ,"Men's Track, Outdoor "
"Flood, Tom P. ",2018-2019,Mar 2010 -  ,Grand Canyon University ,"Men's Track, Indoor "
"Flood, Tom P. ",2018-2019,Mar 2010 -  ,Grand Canyon University ,"Women's Track, Outdoor "
"Flood, Tom P. ",2018-2019,Mar 2010 -  ,Grand Canyon University ,"Women's Track, Indoor "
"Floreal, Edrick B. ",2018-2019,Jul 2018 -  ,University of Texas at Austin ,"Men's Track, Indoor "
"Floreal, Edrick B. ",2018-2019,Jul 2018 -  ,University of Texas at Austin ,Women's Cross Country 
"Floreal, Edrick B. ",2018-2019,Jul 2018 -  ,University of Texas at Austin ,"Men's Track, Outdoor "
"Floreal, Edrick B. ",2018-2019,Jul 2018 -  ,University of Texas at Austin ,"Women's Track, Indoor "
"Floreal, Edrick B. ",2018-2019,Jul 2018 -  ,University of Texas at Austin ,"Women's Track, Outdoor "
"Floreal, Edrick B. ",2018-2019,Jul 2018 -  ,University of Texas at Austin ,Men's Cross Country 
"Flores-Cloud, Leslie ",2018-2019,Jul 2018 -  ,Eastern Washington University ,Women's Volleyball 
"Florio, Steve ",2018-2019,Apr 2014 -  ,Purdue University Fort Wayne ,Women's Volleyball 
"Flory, Fran ",2018-2019,Sep 1991 -  ,Louisiana State University ,Women's Volleyball 
"Flournoy-Williams, Terri ",2018-2019,May 2012 -  ,Auburn University ,Women's Basketball 
"Flowers, Darren ",2018-2019,Aug 2017 -  ,The University of Texas Rio Grande Valley ,"Women's Track, Indoor "
"Flowers, Darren ",2018-2019,Aug 2017 -  ,The University of Texas Rio Grande Valley ,"Women's Track, Outdoor "
"Flowers, Darren ",2018-2019,Aug 2017 -  ,The University of Texas Rio Grande Valley ,"Men's Track, Outdoor "
"Flowers, Darren ",2018-2019,Aug 2017 -  ,The University of Texas Rio Grande Valley ,Men's Cross Country 
"Flowers, Darren ",2018-2019,Aug 2017 -  ,The University of Texas Rio Grande Valley ,Women's Cross Country 
"Flowers, Darren ",2018-2019,Aug 2017 -  ,The University of Texas Rio Grande Valley ,"Men's Track, Indoor "
"Flowers, Jason ",2018-2019,Jul 2010 - Feb 2021 ,"California State University, Northridge ",Women's Basketball 
"Flowers, Tairia ",2018-2019,Aug 2010 - Feb 2021 ,"California State University, Northridge ",Softball 
"Fluty, Mike ",2018-2019,Sep 2004 -  ,McNeese State University ,Women's Golf 
"Fly, Michael ",2018-2019,May 2018 -  ,Florida Gulf Coast University ,Men's Basketball 
"Flygh, Joakim ",2018-2019,Aug 2010 - Apr 2019 ,Yale University ,Women's Ice Hockey 
"Flynn, Scott ",2018-2019,Jul 2008 -  ,Belmont University ,Men's Golf 
"Flynn, Tim ",2018-2019,May 2018 -  ,West Virginia University ,Men's Wrestling 
"Fobbs, Broderick ",2018-2019,Jan 2014 -  ,Grambling State University ,Football 
"Fogarty, Ron ",2018-2019,Jul 2014 -  ,Princeton University ,Men's Ice Hockey 
"Fogg, Rosanne ",2018-2019,Aug 2014 -  ,"Southern University, Baton Rouge ",Women's Bowling 
"Foley, Joe ",2018-2019,Aug 2003 -  ,University of Arkansas at Little Rock ,Women's Basketball 
"Foley, Tom ",2018-2019,Feb 2015 - Sep 2018 ,James Madison University ,Men's Soccer 
"Folmar, Ryan ",2018-2019,Jul 2012 -  ,Oral Roberts University ,Baseball 
"Fonder, Dustin ",2018-2019,Jul 2015 -  ,Campbell University ,Men's Soccer 
"Fontaine, Brandi ",2018-2019,Mar 2018 -  ,High Point University ,Women's Soccer 
"Fontenot, Jeremy ",2018-2019,Sep 2016 -  ,"Southern University, Baton Rouge ",Women's Soccer 
"Forbes, Jeff ",2018-2019,Aug 2007 -  ,James Madison University ,Men's Golf 
"Forbes, Steve ",2018-2019,Apr 2015 - Jun 2020 ,East Tennessee State University ,Men's Basketball 
"Ford, Dana ",2018-2019,Apr 2018 -  ,Missouri State University ,Men's Basketball 
"Ford, Geno ",2018-2019,Apr 2019 -  ,Stony Brook University ,Men's Basketball 
"Ford, Kelly ",2018-2019,Nov 2012 -  ,"California State University, Fullerton ",Softball 
"Ford, Travis ",2018-2019,May 2016 -  ,Saint Louis University ,Men's Basketball 
"Ford, Trisha ",2018-2019,Jul 2016 -  ,Arizona State University ,Softball 
"Ford-Centonze, Sandra ",2018-2019,Aug 1991 - Feb 2020 ,Dartmouth College ,"Women's Track, Indoor "
"Ford-Centonze, Sandra ",2018-2019,Aug 1991 - Feb 2020 ,Dartmouth College ,"Women's Track, Outdoor "
"Forde, Elvis ",2018-2019,Sep 2014 -  ,Temple University ,"Women's Track, Outdoor "
"Forde, Elvis ",2018-2019,Sep 2014 -  ,Temple University ,"Women's Track, Indoor "
"Forehand, Jeff ",2018-2019,Aug 2006 -  ,Lipscomb University ,Baseball 
"Forman, Jozsef ",2018-2019,Feb 2012 -  ,Coastal Carolina University ,Women's Volleyball 
"Forood, Lele ",2018-2019,Oct 2000 -  ,Stanford University ,Women's Tennis 
"Forshey, Danny ",2018-2019,Sep 2018 - Nov 2019 ,Bethune-Cookman University ,Women's Golf 
"Forshey, Danny ",2018-2019,Aug 2018 - Nov 2019 ,Bethune-Cookman University ,Men's Golf 
"Forsyth, Carrie ",2018-2019,Jul 1999 -  ,"University of California, Los Angeles ",Women's Golf 
"Fortner, Nell ",2018-2019,May 2019 -  ,Georgia Institute of Technology ,Women's Basketball 
"Foster, Colin ",2018-2019,Sep 2009 -  ,Wichita State University ,Women's Tennis 
"Foster, Jim ",2018-2019,Aug 2016 -  ,U.S. Military Academy ,Baseball 
"Foster, Mark ",2018-2019,Mar 2018 -  ,University of Arkansas at Little Rock ,Women's Soccer 
"Fowler, Amy ",2018-2019,Aug 2000 - Feb 2020 ,Dartmouth College ,Field Hockey 
"Fowler, Sandy ",2018-2019,May 2017 -  ,Coastal Carolina University ,"Women's Track, Indoor "
"Fowler, Sandy ",2018-2019,May 2017 -  ,Coastal Carolina University ,"Men's Track, Outdoor "
"Fowler, Sandy ",2018-2019,May 2017 -  ,Coastal Carolina University ,"Women's Track, Outdoor "
"Fowler, Terry ",2018-2019,May 2013 -  ,University of South Alabama ,Women's Basketball 
"Fox, Aaron ",2018-2019,Sep 2008 -  ,University of Texas at San Antonio ,Women's Cross Country 
"Fox, Aaron ",2018-2019,Aug 2003 -  ,University of Texas at San Antonio ,"Men's Track, Outdoor "
"Fox, Aaron ",2018-2019,Aug 2008 -  ,University of Texas at San Antonio ,"Women's Track, Indoor "
"Fox, Aaron ",2018-2019,Aug 2003 -  ,University of Texas at San Antonio ,"Men's Track, Indoor "
"Fox, Aaron ",2018-2019,Aug 2003 -  ,University of Texas at San Antonio ,Men's Cross Country 
"Fox, Aaron ",2018-2019,Aug 2008 -  ,University of Texas at San Antonio ,"Women's Track, Outdoor "
"Fox, Jim ",2018-2019,May 2014 - Apr 2019 ,Appalachian State University ,Men's Basketball 
"Fox, Kristie ",2018-2019,Jun 2018 -  ,"University of Nevada, Las Vegas ",Softball 
"Fox, Landon ",2018-2019,Apr 2019 -  ,Valparaiso University ,Football 
"Fox, Mark ",2018-2019,May 2019 -  ,"University of California, Berkeley ",Men's Basketball 
"Fox, Mike ",2018-2019,Aug 1998 - Oct 2020 ,"University of North Carolina, Chapel Hill ",Baseball 
"Fox, Rick ",2018-2019,Jan 2014 - Feb 2019 ,Drake University ,Football 
"Foye, Chris ",2018-2019,Sep 2017 -  ,"Fairleigh Dickinson University, Metropolitan Campus ",Softball 
"Frady, Greg ",2018-2019,Aug 2006 - Aug 2019 ,Georgia State University ,Baseball 
"Frager, Joe ",2018-2019,Jun 2007 -  ,Fairfield University ,Women's Basketball 
"Fralick, Robyn ",2018-2019,May 2018 -  ,Bowling Green State University ,Women's Basketball 
"Francis, Kevin ",2018-2019,Nov 2013 -  ,Montana State University-Bozeman ,Men's Skiing 
"Francis, Kevin ",2018-2019,Nov 2013 -  ,Montana State University-Bozeman ,Women's Skiing 
"Francis, Mark ",2018-2019,Jan 1999 -  ,University of Kansas ,Women's Soccer 
"Francisco, Lisa ",2018-2019,Aug 2016 -  ,Bucknell University ,Women's Golf 
"Franek, Bridget ",2018-2019,Feb 2017 - Sep 2018 ,University of Akron ,Women's Cross Country 
"Frank, Alex ",2018-2019,Aug 2019 -  ,Dartmouth College ,Women's Lacrosse 
"Franke, Nikki ",2018-2019,Oct 1972 -  ,Temple University ,Women's Fencing 
"Franklin, A'Quonesia ",2018-2019,Jun 2019 -  ,Lamar University ,Women's Basketball 
"Franklin, James ",2018-2019,Feb 2014 -  ,Pennsylvania State University ,Football 
"Franklin, Joe ",2018-2019,Aug 2007 -  ,University of New Mexico ,"Women's Track, Outdoor "
"Franklin, Joe ",2018-2019,Aug 2007 -  ,University of New Mexico ,"Men's Track, Outdoor "
"Franklin, Joe ",2018-2019,Aug 2007 -  ,University of New Mexico ,"Men's Track, Indoor "
"Franklin, Joe ",2018-2019,Aug 2007 -  ,University of New Mexico ,Women's Cross Country 
"Franklin, Joe ",2018-2019,Aug 2007 -  ,University of New Mexico ,"Women's Track, Indoor "
"Franklin, Joe ",2018-2019,Aug 2007 -  ,University of New Mexico ,Men's Cross Country 
"Franklin, Michaela ",2018-2019,May 2017 -  ,Clemson University ,Women's Volleyball 
"Franks, Jamie ",2018-2019,Feb 2015 -  ,University of Denver ,Men's Soccer 
"Fratzke, Hillary ",2018-2019,Aug 2013 - Oct 2019 ,William & Mary ,Women's Lacrosse 
"Frazier-Wong, Stephen ",2018-2019,Aug 2014 -  ,Clemson University ,Women's Rowing 
"Free, Danny ",2018-2019,Mar 2019 -  ,Nicholls State University ,Women's Soccer 
"Freeman, Derek ",2018-2019,Aug 2007 -  ,"University of California, Los Angeles ",Men's Golf 
"Freeman, Marybeth ",2018-2019,Aug 2015 - Mar 2019 ,Temple University ,Field Hockey 
"Freeman-Jackson, Freda ",2018-2019,Aug 1998 -  ,Alabama State University ,Women's Basketball 
"Freeze, Hugh ",2018-2019,Jan 2019 -  ,Liberty University ,Football 
"Fremin, RIchard ",2018-2019,Aug 2015 -  ,Southeastern Louisiana University ,Softball 
"French, Michelle ",2018-2019,Feb 2018 -  ,University of Portland ,Women's Soccer 
"French, Nicholas ",2018-2019,Aug 2018 -  ,Bryant University ,Softball 
"Frese, Brenda ",2018-2019,Jul 2002 -  ,"University of Maryland, College Park ",Women's Basketball 
"Frias, Ta'Azar ",2018-2019,Aug 2009 -  ,James Madison University ,"Women's Track, Outdoor "
"Frias, Ta'Azar ",2018-2019,Aug 2009 -  ,James Madison University ,"Women's Track, Indoor "
"Fried, Ricky ",2018-2019,Oct 2003 -  ,Georgetown University ,Women's Lacrosse 
"Friedholm, Scott ",2018-2019,Aug 2014 -  ,University of North Carolina Asheville ,Baseball 
"Friedland, Russ ",2018-2019,Mar 2018 - Sep 2019 ,University of Louisiana Monroe ,Women's Volleyball 
"Friedland, Russ ",2018-2019,May 2018 - Sep 2019 ,University of Louisiana Monroe ,Women's Beach Volleyball 
"Friend, Lawrence W. ",2018-2019,Mar 2010 -  ,U.S. Air Force Academy ,Women's Soccer 
"Friesen, Mike ",2018-2019,May 2007 -  ,San Diego State University ,Women's Soccer 
"Fritz, Suzie ",2018-2019,Aug 2003 -  ,Kansas State University ,Women's Volleyball 
"Fritz, Willie ",2018-2019,Jan 2016 -  ,Tulane University ,Football 
"Frost, Brad ",2018-2019,Aug 2006 -  ,"University of Minnesota, Twin Cities ",Women's Ice Hockey 
"Frost, Rob ",2018-2019,Feb 2019 - Aug 2019 ,Gardner-Webb University ,Women's Volleyball 
"Frost, Ron ",2018-2019,Oct 2004 -  ,Jacksonville State University ,Mixed Rifle 
"Frost, Scott ",2018-2019,Jan 2018 -  ,"University of Nebraska, Lincoln ",Football 
"Frye, Curtis ",2018-2019,Sep 1996 -  ,"University of South Carolina, Columbia ","Women's Track, Outdoor "
"Frye, Curtis ",2018-2019,Sep 1996 -  ,"University of South Carolina, Columbia ","Men's Track, Indoor "
"Frye, Curtis ",2018-2019,Sep 1996 -  ,"University of South Carolina, Columbia ",Women's Cross Country 
"Frye, Curtis ",2018-2019,Sep 1996 -  ,"University of South Carolina, Columbia ","Men's Track, Outdoor "
"Frye, Curtis ",2018-2019,Sep 1996 -  ,"University of South Carolina, Columbia ","Women's Track, Indoor "
"Fuchs, Tracey ",2018-2019,Feb 2009 -  ,Northwestern University ,Field Hockey 
"Fuente, Justin ",2018-2019,Dec 2015 -  ,Virginia Polytechnic Institute and State University ,Football 
"Fuller Kearney, Amy ",2018-2019,Aug 2001 -  ,"University of California, Los Angeles ",Women's Rowing 
"Fuller, Andrew ",2018-2019,Oct 2016 -  ,Stanford University ,Women's Beach Volleyball 
"Funchess, Carlos ",2018-2019,Aug 2018 -  ,"Southern University, Baton Rouge ",Women's Basketball 
"Fuqua, Theresa ",2018-2019,Jun 2007 -  ,Houston Baptist University ,Men's Cross Country 
"Fuqua, Theresa ",2018-2019,Jun 2007 -  ,Houston Baptist University ,"Men's Track, Indoor "
"Fuqua, Theresa ",2018-2019,Jun 2007 -  ,Houston Baptist University ,"Men's Track, Outdoor "
"Fuqua, Theresa ",2018-2019,Jun 2007 -  ,Houston Baptist University ,"Women's Track, Outdoor "
"Fuqua, Theresa ",2018-2019,Jun 2007 -  ,Houston Baptist University ,Women's Cross Country 
"Fuqua, Theresa ",2018-2019,Jun 2007 -  ,Houston Baptist University ,"Women's Track, Indoor "
"Futrell, Jamie ",2018-2019,Aug 2003 -  ,College of Charleston (South Carolina) ,Women's Golf 
"Gabarra, Carin ",2018-2019,Sep 1993 -  ,U.S. Naval Academy ,Women's Soccer 
"Gabinet, Mike ",2018-2019,May 2017 -  ,University of Nebraska Omaha ,Men's Ice Hockey 
"Gabrielli, Chris ",2018-2019,May 2012 -  ,Providence College ,Men's Lacrosse 
"Gadowsky, Guy ",2018-2019,Jun 2011 -  ,Pennsylvania State University ,Men's Ice Hockey 
"Gait, Gary ",2018-2019,Sep 2007 -  ,Syracuse University ,Women's Lacrosse 
"Gaitley, Stephanie ",2018-2019,May 2011 -  ,Fordham University ,Women's Basketball 
"Gajdzik, Pawel ",2018-2019,Sep 2009 -  ,Purdue University ,Men's Tennis 
"Gajewski, Kenny ",2018-2019,Aug 2015 -  ,Oklahoma State University ,Softball 
"Galbraith, Kevin ",2018-2019,Aug 2011 - Jun 2019 ,University of North Dakota ,"Women's Track, Outdoor "
"Galbraith, Kevin ",2018-2019,Aug 2011 - Jun 2019 ,University of North Dakota ,"Women's Track, Indoor "
"Galbraith, Kevin ",2018-2019,Aug 2011 - Jun 2019 ,University of North Dakota ,"Men's Track, Indoor "
"Galbraith, Kevin ",2018-2019,Aug 2011 - Jun 2019 ,University of North Dakota ,"Men's Track, Outdoor "
"Galicinao, Brie ",2018-2019,Aug 2007 -  ,"University of California, Santa Barbara ",Softball 
"Gall, Ben ",2018-2019,Jan 2013 - Sep 2018 ,California Baptist University ,"Women's Track, Outdoor "
"Gall, Ben ",2018-2019,Jan 2013 - Sep 2018 ,California Baptist University ,"Men's Track, Outdoor "
"Gall, Ben ",2018-2019,Jan 2013 - Sep 2018 ,California Baptist University ,Men's Cross Country 
"Gall, Ben ",2018-2019,Jan 2013 - Sep 2018 ,California Baptist University ,Women's Cross Country 
"Gallagher, Cyndi ",2018-2019,May 1988 - Aug 2019 ,"University of California, Los Angeles ",Women's Swimming and Diving 
"Gallagher, John ",2018-2019,May 2010 -  ,University of Hartford ,Men's Basketball 
"Gallagher, Kerri ",2018-2019,Oct 2016 -  ,Manhattan College ,Women's Cross Country 
"Gallagher, Kerri ",2018-2019,Oct 2016 -  ,Manhattan College ,Men's Cross Country 
"Gallagher, Patrick ",2018-2019,Aug 2015 -  ,Cornell University ,Women's Swimming and Diving 
"Galletta, Malcolm ",2018-2019,Mar 2015 -  ,St. John's University (New York) ,Men's Golf 
"Gallimore, Lesle D. ",2018-2019,Apr 1994 - Feb 2020 ,University of Washington ,Women's Soccer 
"Galloway, John ",2018-2019,Sep 2016 -  ,Jacksonville University ,Men's Lacrosse 
"Galvin, Derek ",2018-2019,Aug 1981 - Oct 2020 ,"University of North Carolina, Chapel Hill ",Women's Gymnastics 
"Gambino, Michael ",2018-2019,Aug 2010 -  ,Boston College ,Baseball 
"Gamble Hoffman, Chelsea ",2018-2019,Sep 2018 -  ,University of Oregon ,Women's Lacrosse 
"Gandara, Jose ",2018-2019,Apr 2013 -  ,University of Miami (Florida) ,Women's Volleyball 
"Ganesharatnam, Bakeer ",2018-2019,Feb 2011 -  ,Temple University ,Women's Volleyball 
"Gangloff, Mark ",2018-2019,Jun 2019 -  ,"University of North Carolina, Chapel Hill ",Men's Swimming and Diving 
"Gangloff, Mark ",2018-2019,Jun 2019 -  ,"University of North Carolina, Chapel Hill ",Women's Swimming and Diving 
"Gannon, Chris ",2018-2019,Apr 2018 -  ,Creighton University ,Men's Cross Country 
"Gannon, Chris ",2018-2019,Apr 2018 -  ,Creighton University ,Women's Cross Country 
"Ganot, Eran ",2018-2019,May 2015 -  ,"University of Hawaii, Manoa ",Men's Basketball 
"Garbutt, Daniel ",2018-2019,May 2010 -  ,Old Dominion University ,Women's Rowing 
"Garcia, Ben ",2018-2019,Oct 2018 -  ,University of Northern Colorado ,Softball 
"Garcia, Erick ",2018-2019,Sep 2016 -  ,Niagara University ,Men's Tennis 
