"","Name","Date","Period","School","Sport"
"217","Badeaux, Lon ","2018-2019","Aug 2011 -  ","University of Louisiana at Lafayette ","Men's Track, Outdoor "
"218","Badeaux, Lon ","2018-2019","Aug 2011 -  ","University of Louisiana at Lafayette ","Men's Track, Indoor "
"219","Baggett, Kevin ","2018-2019","Jun 2012 -  ","Rider University ","Men's Basketball "
"220","Bagley, Chad ","2018-2019","Jul 2017 -  ","U.S. Military Academy ","Men's Golf "
"221","Bagnoli, Al ","2018-2019","Mar 2015 -  ","Columbia University-Barnard College ","Football "
"222","Bailey, Steve ","2018-2019","Sep 2010 -  ","Marquette University ","Men's Golf "
"223","Bailey-Duvall, Tayo ","2018-2019","Aug 2012 - Sep 2018 ","Butler University ","Women's Tennis "
"224","Bailey-Duvall, Tayo ","2018-2019","Sep 2018 -  ","Middle Tennessee State University ","Women's Tennis "
"225","Baine, Britney ","2018-2019","Aug 2019 -  ","Norfolk State University ","Men's Tennis "
"226","Baine, Britney ","2018-2019","Aug 2019 -  ","Norfolk State University ","Women's Tennis "
"227","Baine, Britney ","2018-2019","Aug 2019 - Aug 2020 ","Norfolk State University ","Men's Tennis "
"228","Baine, Britney ","2018-2019","Aug 2019 - Aug 2020 ","Norfolk State University ","Women's Tennis "
"229","Baise, Brian ","2018-2019","Aug 2008 -  ","Harvard University ","Men's Volleyball "
"230","Baker, Brian ","2018-2019","Aug 2003 -  ","Gardner-Webb University ","Women's Cross Country "
"231","Baker, Brian ","2018-2019","Aug 2003 -  ","Gardner-Webb University ","Men's Track, Indoor "
"232","Baker, Brian ","2018-2019","Aug 2003 -  ","Gardner-Webb University ","Men's Cross Country "
"233","Baker, Brian ","2018-2019","Aug 2003 -  ","Gardner-Webb University ","Men's Track, Outdoor "
"234","Baker, Brian ","2018-2019","Sep 2000 -  ","Gardner-Webb University ","Women's Track, Outdoor "
"235","Baker, Brian ","2018-2019","Sep 2001 -  ","Gardner-Webb University ","Women's Track, Indoor "
"236","Baker, Cedric ","2018-2019","Sep 2003 -  ","Savannah State University ","Women's Basketball "
"237","Baker, Kevin ","2018-2019","May 2017 -  ","University of Texas at El Paso ","Women's Basketball "
"238","Baker, Mitchell ","2018-2019","Sep 2011 - Jul 2019 ","Brown University ","Women's Cross Country "
"239","Baker, Patrick ","2018-2019","Mar 2013 -  ","Florida Atlantic University ","Women's Soccer "
"240","Baker, Ryan ","2018-2019","Aug 2006 -  ","Colgate University ","Women's Volleyball "
"241","Baker, Tommy ","2018-2019","Jul 2018 -  ","James Madison University ","Women's Golf "
"242","Bakich, Erik ","2018-2019","Aug 2012 -  ","University of Michigan ","Baseball "
"243","Balado, Mike ","2018-2019","Apr 2017 -  ","Arkansas State University ","Men's Basketball "
"244","Balducci, Robin ","2018-2019","Sep 1991 -  ","University of New Hampshire ","Field Hockey "
"245","Baldwin, Patrick ","2018-2019","Jul 2017 -  ","University of Wisconsin-Milwaukee ","Men's Basketball "
"246","Baldwin, Tim ","2018-2019","Sep 2015 -  ","University of Louisiana Monroe ","Men's Golf "
"247","Baldwin, Tim ","2018-2019","Nov 2018 -  ","University of Louisiana Monroe ","Women's Golf "
"248","Ball, Bill ","2018-2019","Aug 2003 -  ","Central Connecticut State University ","Women's Swimming and Diving "
"249","Ball, Chris ","2018-2019","Feb 2019 -  ","Northern Arizona University ","Football "
"250","Ball, Matt ","2018-2019","Aug 2003 -  ","Virginia Commonwealth University ","Men's Golf "
"251","Ball-Malone, Cindy ","2018-2019","Jul 2018 -  ","University of Central Florida ","Softball "
"252","Ballard, Jeremy ","2018-2019","May 2018 -  ","Florida International University ","Men's Basketball "
