"","Name","Date","Period","School","Sport"
"5481","Richards, Bill ","2018-2019","Oct 1972 -  ","Ball State University ","Men's Tennis "
"5482","Richards, Margaret M. ","2018-2019","Jul 2016 -  ","Alabama A&M University ","Women's Basketball "
"5483","Richardson, Bretton ","2018-2019","Sep 2015 -  ","Alcorn State University ","Baseball "
"5484","Richardson, Chris ","2018-2019","Sep 2013 -  ","University of Nebraska Omaha ","Women's Track, Indoor "
"5485","Richardson, Chris ","2018-2019","Sep 2013 -  ","University of Nebraska Omaha ","Women's Track, Outdoor "
"5486","Richardson, Chris ","2018-2019","Sep 2013 -  ","University of Nebraska Omaha ","Women's Cross Country "
"5487","Richardson, Diane ","2018-2019","Aug 2017 -  ","Towson University ","Women's Basketball "
"5488","Richardson, Dorothy ","2018-2019","Aug 2013 -  ","Liberty University ","Softball "
"5489","Richardson, Kareem ","2018-2019","Apr 2013 - Apr 2019 ","University of Missouri-Kansas City ","Men's Basketball "
"5490","Richardson, Peter ","2018-2019","May 2012 - Sep 2019 ","University of the Pacific ","Women's Swimming and Diving "
"5491","Richardson, Peter ","2018-2019","May 2012 - Sep 2019 ","University of the Pacific ","Men's Swimming and Diving "
"5492","Richens, Julian ","2018-2019","May 2011 -  ","Saint Peter's University ","Men's Soccer "
"5493","Richey, Bob ","2018-2019","May 2017 -  ","Furman University ","Men's Basketball "
"5494","Richman, David ","2018-2019","May 2014 -  ","North Dakota State University ","Men's Basketball "
"5495","Richt, Mark ","2018-2019","Jan 2017 - Feb 2019 ","University of Miami (Florida) ","Football "
"5496","Rickel, Brad ","2018-2019","Aug 2007 -  ","Gonzaga University ","Women's Golf "
"5497","Ricketts, Samantha ","2018-2019","Aug 2019 -  ","Mississippi State University ","Softball "
"5498","Ridder, Ryan ","2018-2019","Apr 2017 -  ","Bethune-Cookman University ","Men's Basketball "
"5499","Riddiough, Simon ","2018-2019","Aug 2005 -  ","Hofstra University ","Women's Soccer "
"5500","Riddle, Stu ","2018-2019","Jul 2017 -  ","Northern Kentucky University ","Men's Soccer "
"5501","Ridenhour, Daniel ","2018-2019","Jan 2016 -  ","Winthrop University ","Men's Soccer "
"5502","Ridgeway, Angie ","2018-2019","Sep 2004 -  ","Wofford College ","Women's Golf "
"5503","Riedel, Derek ","2018-2019","Nov 2005 -  ","University of the Incarnate Word ","Men's Track, Outdoor "
"5504","Riedel, Derek ","2018-2019","Nov 2005 -  ","University of the Incarnate Word ","Men's Track, Indoor "
"5505","Riedel, Derek ","2018-2019","Nov 2005 -  ","University of the Incarnate Word ","Men's Cross Country "
"5506","Riedel, Derek ","2018-2019","Nov 2005 -  ","University of the Incarnate Word ","Women's Track, Outdoor "
"5507","Riedel, Derek ","2018-2019","Nov 2005 -  ","University of the Incarnate Word ","Women's Track, Indoor "
"5508","Riedel, Derek ","2018-2019","Nov 2005 -  ","University of the Incarnate Word ","Women's Cross Country "
"5509","Rife, Josh ","2018-2019","Aug 2019 -  ","Ball State University ","Women's Soccer "
"5510","Rigby, Brian ","2018-2019","Dec 2012 - Feb 2019 ","University of Illinois Chicago ","Women's Soccer "
"5511","Rigby, Chanda ","2018-2019","May 2012 -  ","Troy University ","Women's Basketball "
"5512","Riggins, Auntwan ","2018-2019","Oct 2015 -  ","Prairie View A&M University ","Baseball "
"5513","Riggs, Vic ","2018-2019","Sep 2007 -  ","West Virginia University ","Men's Swimming and Diving "
"5514","Riggs, Vic ","2018-2019","Sep 2007 -  ","West Virginia University ","Women's Swimming and Diving "
"5515","Riginos, Tom ","2018-2019","Sep 2010 -  ","Winthrop University ","Baseball "
"5516","Riley, Brian ","2018-2019","Sep 2004 -  ","U.S. Military Academy ","Men's Ice Hockey "
"5517","Riley, Chad ","2018-2019","May 2018 -  ","University of Notre Dame ","Men's Soccer "
"5518","Riley, Christopher ","2018-2019","Aug 2017 -  ","University of San Diego ","Men's Golf "
"5519","Riley, Jon ","2018-2019","Jul 2010 -  ","Virginia Commonwealth University ","Men's Track, Indoor "
"5520","Riley, Jon ","2018-2019","Aug 2008 -  ","Virginia Commonwealth University ","Women's Track, Outdoor "
"5521","Riley, Jon ","2018-2019","Jul 2010 -  ","Virginia Commonwealth University ","Men's Track, Outdoor "
"5522","Riley, Jon ","2018-2019","Jul 2010 -  ","Virginia Commonwealth University ","Men's Cross Country "
"5523","Riley, Jon ","2018-2019","Aug 2008 -  ","Virginia Commonwealth University ","Women's Track, Indoor "
"5524","Riley, Jon ","2018-2019","Aug 2008 -  ","Virginia Commonwealth University ","Women's Cross Country "
"5525","Riley, Kathy ","2018-2019","Aug 1997 - Sep 2020 ","Longwood University ","Softball "
"5526","Riley, Lincoln ","2018-2019","Aug 2017 -  ","University of Oklahoma ","Football "
"5527","Riley, RIchie ","2018-2019","May 2018 -  ","University of South Alabama ","Men's Basketball "
"5528","Riley, Rhonda ","2018-2019","Sep 2016 -  ","Duke University ","Women's Cross Country "
"5529","Riley-Bozier, Ramona L. ","2018-2019","Aug 2003 -  ","Morgan State University ","Women's Volleyball "
"5530","Rincon, Eduardo ","2018-2019","Jun 2019 -  ","Presbyterian College ","Men's Tennis "
"5531","Rinker, Dave ","2018-2019","Aug 2001 -  ","James Madison University ","Women's Cross Country "
"5532","Ripa, Alexander ","2018-2019","Jul 2017 -  ","Brown University ","Women's Fencing "
"5533","Ripa, Alexander ","2018-2019","Jul 2017 -  ","Brown University ","Men's Fencing "
"5534","Riser, Matt ","2018-2019","Aug 2013 -  ","Southeastern Louisiana University ","Baseball "
"5535","Ritchie, Gregg ","2018-2019","Dec 2012 -  ","George Washington University ","Baseball "
"5536","Ritchie, Hilary ","2018-2019","Sep 2016 -  ","Rutgers, The State University of New Jersey, New Brunswick ","Women's Tennis "
"5537","Ritchie, Mary ","2018-2019","Aug 2014 -  ","University of California, Riverside ","Women's Golf "
"5538","Ritchie, Tim ","2018-2019","May 2018 -  ","University of Massachusetts, Amherst ","Men's Cross Country "
"5539","Rivera, Manny ","2018-2019","Aug 2016 - Oct 2020 ","California State University, Bakersfield ","Men's Wrestling "
"5540","Rivera-Eberhart, Amanda ","2018-2019","Aug 2018 -  ","University of Nebraska Omaha ","Softball "
"5541","Rizzo, Patti ","2018-2019","Jun 2010 -  ","University of Miami (Florida) ","Women's Golf "
"5542","Rizzotti, Jennifer ","2018-2019","May 2016 -  ","George Washington University ","Women's Basketball "
"5543","Roark, Kenzie ","2018-2019","Oct 2018 -  ","Ohio University ","Softball "
"5544","Robbins, Grant ","2018-2019","Jul 2014 -  ","Kansas State University ","Men's Golf "
"5545","Robelot, Reed ","2018-2019","Jul 2015 - Oct 2019 ","University of Wisconsin-Green Bay ","Women's Swimming and Diving "
"5546","Robelot, Reed ","2018-2019","Jul 2015 - Oct 2019 ","University of Wisconsin-Green Bay ","Men's Swimming and Diving "
"5547","Roberts Sahaydak, Tiffany ","2018-2019","Jul 2013 -  ","University of Central Florida ","Women's Soccer "
"5548","Roberts, Bill ","2018-2019","Jun 2003 -  ","U.S. Naval Academy ","Men's Swimming and Diving "
"5549","Roberts, Carrie ","2018-2019","Jul 2010 -  ","Brigham Young University ","Women's Golf "
"5550","Roberts, Chrissy ","2018-2019","Jul 2008 - May 2019 ","Eastern Kentucky University ","Women's Basketball "
"5551","Roberts, Craig ","2018-2019","Feb 2010 - Aug 2019 ","Ball State University ","Women's Soccer "
"5552","Roberts, Lynne ","2018-2019","May 2015 -  ","University of Utah ","Women's Basketball "
"5553","Roberts, Mark ","2018-2019","Feb 2019 - Jun 2019 ","Weber State University ","Women's Tennis "
"5554","Roberts, Matt ","2018-2019","Oct 2014 -  ","Mississippi State University ","Men's Tennis "
"5555","Roberts, Mike ","2018-2019","Feb 2018 - Sep 2018 ","University at Buffalo, the State University of New York ","Softball "
"5556","Roberts, Neil ","2018-2019","Feb 1984 - Feb 2020 ","Boston University ","Men's Soccer "
"5557","Robertson, Carol ","2018-2019","Aug 2013 -  ","Virginia Polytechnic Institute and State University ","Women's Golf "
"5558","Robertson, Cristina ","2018-2019","Dec 2017 -  ","University of Maryland, Baltimore County ","Women's Volleyball "
"5559","Robertson, Greg ","2018-2019","Jul 2013 - Jul 2019 ","Kent State University ","Women's Golf "
"5560","Robertson, Greg ","2018-2019","Jul 2019 -  ","Oklahoma State University ","Women's Golf "
"5561","Robertson, JoJo ","2018-2019","Jul 2009 -  ","Texas Tech University ","Women's Golf "
"5562","Robertson, Michael ","2018-2019","Aug 2008 -  ","Texas Southern University ","Baseball "
"5563","Robie, Tony ","2018-2019","Mar 2017 -  ","Virginia Polytechnic Institute and State University ","Men's Wrestling "
"5564","Robinson, Earnest Tarrell ","2018-2019","Jun 2012 -  ","North Carolina A&T State University ","Women's Basketball "
"5565","Robinson, James ","2018-2019","Aug 2006 - Jul 2019 ","Rutgers, The State University of New Jersey, New Brunswick ","Women's Track, Indoor "
"5566","Robinson, James ","2018-2019","Aug 2006 - Jul 2019 ","Rutgers, The State University of New Jersey, New Brunswick ","Women's Track, Outdoor "
"5567","Robinson, James ","2018-2019","Aug 2006 - Jul 2019 ","Rutgers, The State University of New Jersey, New Brunswick ","Women's Cross Country "
"5568","Robinson, Jeff ","2018-2019","Dec 2015 - Sep 2019 ","U.S. Air Force Academy ","Men's Gymnastics "
"5569","Robinson, Katherine ","2018-2019","Jun 2013 - Sep 2018 ","Tulane University ","Women's Swimming and Diving "
"5570","Robinson, Kevin ","2018-2019","Aug 2007 -  ","University of Memphis ","Women's Cross Country "
"5571","Robinson, Kevin ","2018-2019","Aug 2006 -  ","University of Memphis ","Men's Track, Indoor "
"5572","Robinson, Kevin ","2018-2019","Aug 2007 -  ","University of Memphis ","Women's Track, Outdoor "
"5573","Robinson, Kevin ","2018-2019","Aug 2007 -  ","University of Memphis ","Women's Track, Indoor "
"5574","Robinson, Kevin ","2018-2019","Aug 2006 -  ","University of Memphis ","Men's Track, Outdoor "
"5575","Robinson, Kevin ","2018-2019","Aug 2006 -  ","University of Memphis ","Men's Cross Country "
"5576","Robinson, Kyle ","2018-2019","Feb 2019 -  ","Quinnipiac University ","Women's Volleyball "
"5577","Robinson, Melissa ","2018-2019","Apr 2019 -  ","Alcorn State University ","Women's Volleyball "
"5578","Robinson, Montez ","2018-2019","Sep 2015 - May 2020 ","Alcorn State University ","Men's Basketball "
"5579","Robles, Marci ","2018-2019","Sep 2018 -  ","George Washington University ","Women's Rowing "
"5580","Rocco, Daniel ","2018-2019","Jan 2017 -  ","University of Delaware ","Football "
"5581","Roche, Brianna ","2018-2019","Nov 2018 -  ","Bryant University ","Women's Lacrosse "
"5582","Roche, Jeff ","2018-2019","Jul 2005 -  ","Bradley University ","Men's Golf "
"5583","Rockwood, Jennifer ","2018-2019","Oct 1995 -  ","Brigham Young University ","Women's Soccer "
"5584","Roddick, John ","2018-2019","Jun 2016 -  ","University of Central Florida ","Men's Tennis "
"5585","Rodecap, Steve ","2018-2019","Sep 2003 -  ","Marquette University ","Men's Tennis "
"5586","Rodel, Mark ","2018-2019","Aug 2019 - Jun 2020 ","Idaho State University ","Men's Tennis "
"5587","Rodenhaver, Jason ","2018-2019","Jun 2011 -  ","University of Maryland, College Park ","Men's Golf "
"5588","Rodgers, Aaron ","2018-2019","Jan 2013 -  ","Ohio University ","Women's Soccer "
"5589","Roditi, David ","2018-2019","Oct 2010 -  ","Texas Christian University ","Men's Tennis "
"5590","Rodolph, Kathy ","2018-2019","Aug 2003 -  ","New Mexico State University ","Softball "
"5591","Rodriguez, Margaret ","2018-2019","Jan 2018 -  ","University of Connecticut ","Women's Soccer "
"5592","Rodriguez, Steve ","2018-2019","Aug 2015 -  ","Baylor University ","Baseball "
"5593","Roe, Matt ","2018-2019","Sep 2007 -  ","Butler University ","Women's Track, Outdoor "
"5594","Roe, Matt ","2018-2019","Sep 2007 -  ","Butler University ","Men's Cross Country "
"5595","Roe, Matt ","2018-2019","Sep 2007 -  ","Butler University ","Men's Track, Outdoor "
"5596","Roe, Matt ","2018-2019","Sep 2007 -  ","Butler University ","Women's Track, Indoor "
"5597","Roe, Matt ","2018-2019","Sep 2007 -  ","Butler University ","Men's Track, Indoor "
"5598","Roe, Matt ","2018-2019","Sep 2007 -  ","Butler University ","Women's Cross Country "
"5599","Roeders, Markus ","2018-2019","Sep 1996 -  ","Marquette University ","Women's Soccer "
"5600","Roff, Drew ","2018-2019","Jan 2015 -  ","Purdue University ","Women's Soccer "
"5601","Rogers, Bert ","2018-2019","Aug 2007 -  ","Marquette University ","Men's Track, Indoor "
"5602","Rogers, Bert ","2018-2019","Aug 2007 -  ","Marquette University ","Men's Track, Outdoor "
"5603","Rogers, Bert ","2018-2019","Aug 2007 -  ","Marquette University ","Women's Track, Indoor "
"5604","Rogers, Bert ","2018-2019","Aug 2007 -  ","Marquette University ","Women's Track, Outdoor "
"5605","Rogers, Jody ","2018-2019","Mar 2013 -  ","Virginia Commonwealth University ","Women's Volleyball "
"5606","Rogers, Michael ","2018-2019","Sep 2010 -  ","Franklin & Marshall College ","Men's Wrestling "
"5607","Rogers, Todd ","2018-2019","May 2016 -  ","California Polytechnic State University ","Women's Beach Volleyball "
"5608","Roghaar, Beck ","2018-2019","Nov 2010 -  ","Boise State University ","Women's Tennis "
"5609","Rohlik, Steve ","2018-2019","May 2013 -  ","The Ohio State University ","Men's Ice Hockey "
"5610","Rohr, Kristen ","2018-2019","Sep 2015 -  ","Grand Canyon University ","Women's Beach Volleyball "
"5611","Rojas, Ricardo ","2018-2019","Jul 2017 -  ","East Tennessee State University ","Women's Tennis "
"5612","Rokos, Richard H. ","2018-2019","Aug 2004 -  ","University of Colorado, Boulder ","Women's Skiing "
"5613","Rokos, Richard H. ","2018-2019","Aug 2004 -  ","University of Colorado, Boulder ","Men's Skiing "
"5614","Roland, Seth ","2018-2019","Apr 2018 -  ","Fairleigh Dickinson University, Metropolitan Campus ","Men's Soccer "
"5615","Rollins, Dave ","2018-2019","Sep 2016 -  ","Florida Gulf Coast University ","Women's Swimming and Diving "
"5616","Rolovich, Nick ","2018-2019","Dec 2015 - Feb 2020 ","University of Hawaii, Manoa ","Football "
"5617","Romar, Lorenzo ","2018-2019","Apr 2018 -  ","Pepperdine University ","Men's Basketball "
"5618","Rompothong, Chawwadee ","2018-2019","Aug 2005 - Jul 2019 ","Yale University ","Women's Golf "
"5619","Ronan, Andy ","2018-2019","Sep 2000 -  ","Stony Brook University ","Women's Track, Outdoor "
"5620","Ronan, Andy ","2018-2019","Aug 2003 -  ","Stony Brook University ","Men's Cross Country "
"5621","Ronan, Andy ","2018-2019","Sep 2000 -  ","Stony Brook University ","Women's Track, Indoor "
"5622","Ronan, Andy ","2018-2019","Aug 2003 -  ","Stony Brook University ","Men's Track, Outdoor "
"5623","Ronan, Andy ","2018-2019","Aug 2003 -  ","Stony Brook University ","Men's Track, Indoor "
"5624","Ronan, Andy ","2018-2019","Aug 2003 -  ","Stony Brook University ","Women's Cross Country "
"5625","Ronayne, Jay ","2018-2019","Aug 2006 -  ","Iowa State University ","Women's Gymnastics "
"5626","Ronning, Erik ","2018-2019","Aug 2005 -  ","Colgate University ","Men's Soccer "
"5627","Roof, Eric ","2018-2019","Feb 2018 -  ","Eastern Michigan University ","Baseball "
"5628","Roope, Jeff ","2018-2019","Aug 2017 -  ","University of Toledo ","Men's Golf "
"5629","Roos, Lynze ","2018-2019","Sep 2015 -  ","Wofford College ","Women's Volleyball "
"5630","Rosa, Kevin ","2018-2019","Feb 2016 -  ","California Baptist University ","Men's Water Polo "
"5631","Rosamond, Kim ","2018-2019","May 2016 -  ","Tennessee Technological University ","Women's Basketball "
"5632","Rosas, Ricardo ","2018-2019","Aug 2017 -  ","Miami University (Ohio) ","Women's Tennis "
"5633","Rose, Dave ","2018-2019","May 2005 - Jun 2019 ","Brigham Young University ","Men's Basketball "
"5634","Rose, Russell ","2018-2019","Oct 1979 -  ","Pennsylvania State University ","Women's Volleyball "
